,year,track_rank,search_artist,search_query,track_popularity,duration_min,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,k_labels,clusters
0,Level,1,Chief Executives,Bridge Over Troubled Water,72,2.91,102.762,0.755,0.876,0,-8.867,1,0.0362,0.357,5.17E-06,0.22,0.954,1,Technology
1,Level,2,Chief Sustainability Officers,(They Long to Be) Close to You,4,3.5,95.208,0.466,0.331,8,-14.734,1,0.0359,0.623,0.842,0.257,0.356,2,Technology
2,Level,3,General and Operations Managers,American Woman,61,5.12,92.697,0.55,0.726,2,-8.51,1,0.0516,0.146,0.00608,0.428,0.37,0,Technology
3,Level,4,Legislators,Raindrops Keep Fallin' on My Head,56,3.07,104.962,0.519,0.446,5,-9.287,1,0.0388,0.813,0.000124,0.11,0.654,2,Technology
4,Level,5,Advertising and Promotions Managers,War,62,3.34,109.333,0.59,0.671,1,-12.484,1,0.154,0.0939,0,0.248,0.736,1,Technology
5,Level,6,Green Marketers,Ain't No Mountain High Enough,0,6.34,96.198,0.371,0.784,0,-5.614,0,0.0351,0.286,0.00508,0.0952,0.582,0,Technology
6,Level,7,Marketing Managers,I'll Be There,66,3.96,93.212,0.51,0.515,5,-7.247,1,0.0253,0.593,1.24E-06,0.654,0.331,2,Technology
7,Level,8,Sales Managers,Get Ready,37,2.78,136.828,0.62,0.94,2,-4.098,0,0.0311,0.0426,0.000828,0.275,0.959,1,Technology
8,Level,9,Public Relations and Fundraising Managers,Let It Be,77,4.05,143.462,0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,2,Technology
9,Level,10,Administrative Services Managers,Band of Gold,40,3.04,108.875,0.631,0.746,7,-5.439,1,0.0277,0.451,0,0.424,0.93,1,Technology
10,Level,11,Computer and Information Systems Managers,Mama Told Me Not to Come,59,3.32,119.994,0.673,0.673,1,-13.941,1,0.0493,0.373,0.0265,0.206,0.825,1,Technology
11,Level,12,Financial Managers,Everything Is Beautiful,36,3.55,112.159,0.37,0.378,5,-15.178,1,0.0369,0.514,0,0.222,0.722,2,Technology
12,Level,13,Treasurers and Controllers,Make It with You,64,3.2,83.886,0.629,0.356,4,-11.135,1,0.0246,0.66,0.000617,0.173,0.472,2,Technology
13,Level,14,"Financial Managers, Branch or Department",Hitchin' a Ride,38,2.92,137.034,0.735,0.727,0,-7.527,1,0.0282,0.0746,5.80E-05,0.101,0.511,0,Technology
